rating,num_reviews,name,tags,directions,ingredients
,,Appletini / Apple Martini,"apple cider,apple juice,apple pucker,Vodka",Combine ingredients in a shaker with ice. Shake well and strain into a chilled cocktail glass. Garnish with an apple slice.,"[(u'2', u'vodka', 'oz'), (u'\xbd', u'Apple Pucker schnapps or', 'oz'), (u'\xbd', u'apple juice or cider', 'oz')]"
,,Apple Sidecar (Apple Car),"Apple Brandy,calvados,lemon,lime juice,Triple Sec","Combine all the ingredients in a shaker filled with ice, shake well and strain into a martini glass.","[(u'1 \xbd', u'apple brandy, Calvados, or Apple Jack', 'oz'), (u'1', u'triple sec', 'oz'), (u'1', u'lemon or lime juice', 'oz')]"
,,Apple Irish Coffee,"Apple Brandy,Bailey's Irish Cream,coffee drinks,iced coffee,Irish cream,lemon,Liqueurs,mixologists,St. Patrick's Day Drinks,THIS WEEK'S DRINK,yellow chartreuse","Fill a rocks glass with ice. Pour Baileys, iced coffee, apple brandy, and Yellow Chartreuse over ice. Garnish with a lemon twist.","[(u'1 \xbe', u'iced coffee', 'oz'), (u'\xbd', u'100 proof apple brandy', 'oz'), (u'\xbe', u'Baileys Original Irish Cream', 'oz'), (u'\xbd', u'Yellow Chartreuse', 'oz'), (None, u'Lemon slice', None)]"
,,2-Point Play,"Absolut vodka,Apple,apple schnapps,appletini,DeKuyper,football drinks,Labor Day Drinks,martini,sour apple schnapps,Super Bowl,Vodka",Pour ingredients into a cocktail shaker with ice. Shake and strain into a chilled martini glass. Garnish with an apple wedge.,"[(u'1', u'DeKuyper Pucker sour-apple schnapps', 'part'), (u'1', u'Absolut vodka', 'part')]"
,,Après Ski,"apple cider,cinnamon stick,Holiday Drinks,hot cocktails,Hot Drinks,SKYY,Vodka,winter cocktails,winter drinks",,
,,Apricot Fizz,"apricot,bitters,ginger ale,Rum,soda,sparkling,Summer Cocktails,Summer Coolers","In a cocktail shaker, muddle the rum and apricot. Add ice and shake thoroughly. Strain the drink into a glass. Add crushed ice on top of the apricot/rum mixture to keep the middled bits of fruit from floating around in the drink and to make it extra cold. Fill to the top with ginger ale and add a dash or two of bitters on top. Garnish with a slice of apricot.","[(None, u'1 ripe apricot\n', None), (u'1 1/2', u'dark rum', 'oz'), (u'1-2', u'cherry bitters', 'dashes'), (None, u'Ginger ale', None)]"
,,Apple Thyme H20 Cocktail,"apples,h2o cocktails,Purity Vodka,water","Apple-Thyme Water Recipe: ,Combine ingredients and refrigerate overnight (stir regularly). Strain and keep chilled. Use water within two days.,Serve the vodka mixed with the apple-thyme water – either shaken and served strained or just combined over ice. Garnish with apple and thyme. ","[(u'1', u'Purity Vodka', 'oz'), (u'3', u'Apple-Thyme Water (ingredients listed below)', 'oz'), (None, u'Garnish: Small thyme sprig and thin slice of green apple\n', None), (None, u'Apple-Thyme Water:\n', None), (u'1-2', u'of diced apples', 'cups'), (u'4', u'of cold, distilled water', 'cups'), (None, u'6 sprigs fresh Thyme ', None)]"
,,Apple Pie Shot,"apple juice,Captain Morgan,cinnamon,July 4th Drinks,Rum,spiced rum,whipped cream","Pour apple juice into mouth, followed by the Captain Morgan. Top it off with some whipped cream and cinnamon. Close mouth and swish and swallow!","[(u'\xbd', u'Captain Morgan spiced rum', 'oz'), (u'\xbd', u'apple juice', 'oz'), (None, u'Whipped cream\n', None), (None, u'Cinnamon', None)]"
,,Apple Bob,"autumn cocktails,Cointreau,Domaine de Canton,fall cocktails,fall drinks,Ginger Liqueur,green apple,Halloween,Halloween cocktails,lime,Tequila",Rim a cocktail glass with cinnamon sugar. Shake all ingredients with ice and strain into the cocktail glass. Garnish with an apple slice.,"[(u'1', u'Domaine de Canton', 'oz'), (u'1', u'reposado tequila', 'oz'), (u'1', u'green apple puree', 'oz'), (u'\xbc', u'Cointreau', 'oz'), (u'\xbd', u'fresh lime juice', 'oz')]"
,,Apple Berry Crush,"apple barrel schnapps,apple schnapps,blackhaus,razzmataz,Schnapps,Vodka","Use a large martini glass. Fill blender with liquors and ice, top off with cranberry and orange juice. Blend until ice is crushed and almost smooth. Garnish rim of glass with sugar and add an apple slice and raspberry and enjoy!","[(u'1', u'vodka', 'oz'), (u'1', u'Apple Barrel schnapps', 'oz'), (u'1', u'Razzmataz (raspberry schnapps) OR Blackhaus', 'oz'), (u'1', u'of ice', 'cup')]"
